molecule_chembl_id,canonical_smiles,standard_value,bioactivityclass
CHEMBL138580,CC12CCC(=O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,1320.0,intermediate
CHEMBL3084319,C[C@]12CC[C@H]3[C@@H](CC=C4CC(O)CC[C@@]43C)[C@@H]1CC[C@@H]2C1CS1,2500.0,intermediate
CHEMBL136897,CC1(C2CCC3C4CC=C5CC(O)CCC5(C)C4CCC32C)NN1,16000.0,inactive
CHEMBL343929,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cc[nH]n3)=CCC12,180.0,active
CHEMBL2112777,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@H]1CN1,34000000.0,inactive
CHEMBL3085258,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C1CO1,25000.0,inactive
CHEMBL341591,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,530.0,active
CHEMBL2111948,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,420.0,active
CHEMBL2111949,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@H]1CO1,25000.0,inactive
CHEMBL342012,CC12CCC(O)CC1=CCC1C2CCC2(C)C(C3CCN3)CCC12,125000.0,inactive
CHEMBL2112781,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CO1,70000.0,inactive
CHEMBL3085256,COC1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C5CO5)[C@@]4(C)CC[C@@H]32)C1,125000.0,inactive
CHEMBL134644,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3c[nH]cn3)=CCC12,40.0,active
CHEMBL2111947,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,210.0,active
CHEMBL2111950,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@]2(O)[C@@H]1CN1,32000.0,inactive
CHEMBL2112782,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C1=CC[C@@H]2[C@@H]1CN1,9670.0,intermediate
CHEMBL2112772,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@H]1CN1,34000.0,inactive
CHEMBL2112775,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@]2(O)[C@H]1CN1,125000.0,inactive
CHEMBL140021,CC1(C2CCC3C4CC=C5CC(O)CCC5(C)C4CCC32C)N=N1,125000.0,inactive
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,67000.0,inactive
CHEMBL3085257,C[C@]12CC[C@H]3[C@@H](CC=C4CC(O)CC[C@@]43C)[C@@H]1CC[C@H]2C1CS1,125000.0,inactive
CHEMBL2111951,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C1=CC[C@@H]2[C@H]1CN1,430.0,active
CHEMBL419743,Cc1nc(C2CCC3C4CC=C5CC(O)CC[C@]5(C)C4CC[C@]23C)co1,1500.0,intermediate
CHEMBL166709,O=C1/C(=C/c2cccnn2)CCc2ccccc21,10000.0,inactive
